new_decompiled_hash,original_filename,original_challenge_hash,vtotal_alerts,version
bc2688b5ec83954a40a86b8f3206a9656c99ec437cbe3c5ac3d13bb05fe2a5ea,dc_token.pyc,083cf5a4e13b18adf1e623ecc7f178588de7138585fd772b83f6c1a7dbbecdee,14,3.9
bdd36c3e7d91a1af958bc9c0d2b7219978605c6b900d19c264ca61d9b25b4d11,blackcap__main__.pyc,365a951754b9cbbacdaca14d17735e8cae9de3be8f07a1547efd3046965a1324,14,3.11
699eddbcd22aa6b8188fef127ce65d4abd0a804a6872f28ffef6e758da4618e8,test.pyc,c2e50e54d8727781d2a1faff024149440401c1ec681f7e849319212aef1ecac3,14,3.12
92eabae25cd099253c38f87f4f67934ab9f7ed096274e59f5c42a1ed5bb52235,RobloxHack.pyc,a876a53e6fa0c32bc227cb936202c9a9e316b562a0dcf6703c074a627b7394a6,14,3.9
27c2ba1c472cd1790670fff8d51a93d21395f736b1e5dafa2ac6c7d6b3504096,decompiled.pyc,549f70fbe0e92c7c4d12f28f5df7cf12bedbd62d79c555eab762702d031e0971,14,3.10
7359551651d08e3f5343ee2eea8dcc4b51bad2bf5908604c53dfa829d617f751,stub-o.pyc,3819a65f50c08549b181357485d2024696f42b26f3de18a3cfac01b2cd99affd,13,3.11
bda2ddadd68257aee8275d07af236525820cb7b4076f226f40719d81f097798d,tester.pyc,f68aaa0b2ddafe64527a59d69cf4b5b28fdd4d428c033fc4a45f5b771f773eb7,13,3.11
06ebc3ee79fda2282c2ca4cd0a1c39ce3a8804b888b2f92a046a0da7bb38a680,keylogger2.pyc,b3948d2db1a22861bb0dab405d5859da06de6004f9e4eba7f15d432cb7253d4b,13,3.11
d42b7729850fdb27ba01e21a6902041a68c704e3a165d4f2a288bb4a4f00fd9e,Neverlose.pyc,85274fc0ab2c7721ea31de443ea783d3b2768ee35bb31e0a3cf7c99cba109008,13,3.11
0d29d64f419e7fc0b2a8a63626b18c9c89687e978893efb2d241924b27a4b4b4,test.pyc,2a15306baeb3cec35cf6e7dd82d0d39baba3c8cf1f956998a3f2466938faa7c8,13,3.12
